,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000008283.15_CYB561,341,453,1115,787,3602,2385,2689,2106,3549,3026,2803,3668
ENSG00000008294.20_SPAG9,4697,5946,4329,4011,5991,4743,4878,4437,6283,5304,5817,7317
ENSG00000008300.14_CELSR3,15,23,135,83,792,491,630,503,517,404,459,589
ENSG00000008311.14_AASS,592,804,817,714,105,99,89,65,27,14,35,45
ENSG00000008323.15_PLEKHG6,3,16,8,1,24,26,8,4,42,58,43,27
ENSG00000008324.10_SS18L2,211,169,226,216,478,367,254,247,397,322,360,588
ENSG00000008382.15_MPND,258,353,255,155,220,77,143,95,197,167,112,174
ENSG00000008394.12_MGST1,1563,1691,1384,1269,13073,13648,13901,11562,11491,10383,10517,12135
ENSG00000008405.11_CRY1,1318,1495,1370,1259,726,641,741,596,758,579,548,788
ENSG00000008438.4_PGLYRP1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008441.16_NFIX,4447,5924,5382,3076,1227,1157,1767,1273,1304,1254,1066,912
ENSG00000008513.14_ST3GAL1,2581,3245,2359,1873,3572,2977,2639,2250,3758,3730,3457,4159
ENSG00000008516.16_MMP25,17,29,22,16,2,0,6,1,6,8,1,5
ENSG00000008517.16_IL32,11789,12444,18914,12505,109,89,42,44,194,167,157,194
ENSG00000008710.17_PKD1,766.59,1187.46,1201.63,560.24,1201.16,728.17,1181.34,765.94,932.96,813.23,663.91,640.5
ENSG00000008735.13_MAPK8IP2,35,45,79,46,425,232,245,170,303,308,291,278
ENSG00000008838.17_MED24,1228,1602,2101,1338,2858,1997,2683,2182,2227,1992,1959,2544
ENSG00000008853.16_RHOBTB2,839,1149,1107,674,1519,1022,1044,880,1883,1788,1248,1395
ENSG00000008869.11_HEATR5B,874,1054,1338,1211,1692,1269,1265,1130,1795,1445,1310,1716
ENSG00000008952.16_SEC62,5896,7241,5658,5567,3691,3660,3894,3506,6843,5029,4082,4448
ENSG00000008988.9_RPS20,14657,14686,11091,8657,63918,45487,38156,31111,60040,47535,41174,47846
ENSG00000009307.15_CSDE1,19596,24284,20934,19045,17441,15371,16219,14123,16739,13830,12292,13857
ENSG00000009335.17_UBE3C,4157,4567,4796,4180,10591,7583,7762,6581,8830,7767,7524,9959
ENSG00000009413.15_REV3L,1212,1379,2092,2101,1762,1478,1703,1498,1201,1038,1100,1253
ENSG00000009694.13_TENM1,0,0,2,3,15,24,13,15,4,4,9,7
ENSG00000009709.11_PAX7,0,1,0,0,0,0,0,0,0,1,0,0
ENSG00000009724.16_MASP2,20,21,35,48,18,21,61,67,15,7,3,7
ENSG00000009765.14_IYD,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000009780.15_FAM76A,341,365,412,331,248,185,260,180,178,134,158,208
ENSG00000009790.14_TRAF3IP3,0,1.22,3.04,2.25,11.66,17.44,8.81,5.33,3.3,8.07,7.79,9.37
ENSG00000009830.11_POMT2,644,841,1270,884,998,636,870,786,848,823,683,951
ENSG00000009844.15_VTA1,2529,2783,2547,2353,2946,2896,2269,1892,4933,3514,3303,3922
ENSG00000009950.15_MLXIPL,0,0,2,0,72,45,147,107,45,28,17,23
ENSG00000009954.10_BAZ1B,4907,5793,7537,6515,10515,9490,10161,8761,11932,10580,9700,10906
ENSG00000010017.12_RANBP9,2794.15,3273.92,3303.43,2946.79,1939,1941.11,2185.09,1772,2342,1870.24,1913.4,2220.2
ENSG00000010030.13_ETV7,225,302,596,414,8,5,3,4,5,0,0,4
ENSG00000010072.15_SPRTN,473.81,606.27,630.42,562.44,1297.62,1082.51,1353.23,1112.2,1356.53,1048.38,1001.99,1165.68
ENSG00000010165.19_METTL13,1070,1316,1699,1331,4918,3255,2791,2629,4510,3763,3559,5431
ENSG00000010219.13_DYRK4,554,636,464,370,522,422,372,308,421,331,314,355
ENSG00000010244.16_ZNF207,5976,6845,9105,7524,7531,6817,9569,8147,9888,8819,8511,9852
ENSG00000010256.10_UQCRC1,5652,6468,6778,4644,10301,6247,5900,4915,8420,7185,6859,10327
ENSG00000010270.13_STARD3NL,1876,2024,1844,1680,2396,1813,1444,1226,2540,2008,1813,2685
ENSG00000010278.11_CD9,14494,15336,13823,11918,3525,2743,2282,1811,6152,5206,4565,5173
ENSG00000010282.14_HHATL,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000010292.12_NCAPD2,2573.35,3265.83,4732.25,3989.12,7846.51,5451.51,9923.41,8845.64,4632.52,4084.18,3820.69,5016.45
ENSG00000010295.19_IFFO1,411,467,687,430,9,5,26,14,9,15,7,12
ENSG00000010310.8_GIPR,28,45,83,50,59,42,98,80,44,35,26,39
ENSG00000010318.19_PHF7,32,46,61,55,259,208,238,199,119,97,106,129
ENSG00000010319.6_SEMA3G,5,3,3,1,2,1,2,2,0,0,0,0
ENSG00000010322.15_NISCH,1911,2689,3220,1880,1569,964,1703,1272,912,812,731,876
ENSG00000010327.10_STAB1,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000010361.13_FUZ,76,88,117,66,244,174.01,117.03,100,114.04,113.02,89,97.01
ENSG00000010379.15_SLC6A13,0,0,1,0,6,4,6,7,6,1,1,3
ENSG00000010404.17_IDS,7617.14,9016.22,9482.94,7860.1,1575.84,1371.35,1643.61,1333.01,1590.4,1475.22,1182.48,1277.13
ENSG00000010438.16_PRSS3,0,0,0,0,32,26,22,12,27,22,58,82
ENSG00000010539.11_ZNF200,450,532,557,446,292,194,244,223,243,239,192,264
ENSG00000010610.9_CD4,6,2,20,9,1,0,2,4,0,1,0,1
ENSG00000010626.14_LRRC23,201,200,219,146,136,112,103,97,119,103,93,148
ENSG00000010671.15_BTK,0,0,0,0,2,2,0,0,4,4,3,3
ENSG00000010704.18_HFE,340,368,425,356,344,261,315,254,235,205,190,241
ENSG00000010803.16_SCMH1,1356,1650,2331,1661,1148,815,1258,1178,692,623,638,693
ENSG00000010810.17_FYN,2511,2948,3325,2499,261,249,214,195,85,72,80,86
ENSG00000010818.8_HIVEP2,2363,2972,2296,1822,1966,1817,1561,1358,2125,1900,1481,1758
ENSG00000010932.15_FMO1,0,0,0,0,0,0,0,0,0,0,0,0
